GET /info 200 107 - 3.067 ms
GET /api/persons 200 219 - 2.206 ms
GET /api/persons/3 200 53 - 0.643 ms
POST /api/persons 200 44 - 2.197 ms
::ffff:127.0.0.1 - - [24/Feb/2023:06:00:32 +0000] "POST /api/persons HTTP/1.1" 200 43
POST /api/persons 200 46 - 2.198 ms
POST /api/persons 200 45 - 2.209 ms -
POST /api/persons 200 43 - 2.236 ms -
GET /api/persons 200 219 - 2.279 ms -
POST /api/persons 200 43 - 0.612 ms 43
POST /api/persons 200 45 - 2.286 ms 45
POST /api/persons 200 {"name":"adfdfds","number":"342143-12"}] - 2.200 ms
POST /api/persons 200 46 - 2.184 ms {"name":"adfdfds","number":"342143-12"}
POST /api/persons 200 46 - 1.837 ms {"name":"adfdfds","number":"342143-12"}
GET / 404 139 - 2.084 ms {}
GET /persons 404 146 - 3.590 ms {}
GET /api/notes 404 148 - 1.376 ms {}
GET /api/persons 200 219 - 2.107 ms {}
GET /favicon.ico 404 150 - 1.051 ms {}
GET /api/persons 200 219 - 0.870 ms {}
GET /persons 404 146 - 4.486 ms {}
GET /api/persons 200 219 - 2.181 ms {}
GET /api/persons 304 - - 1.422 ms {}
GET /api/persons 304 - - 2.205 ms {}
OPTIONS /persons 204 0 - 0.414 ms {}
POST /persons 404 147 - 1.381 ms {"name":"Antonio Banderas","number":"040-123456","id":593.3299644208541}
OPTIONS /persons/1 204 0 - 0.198 ms {}
PUT /persons/1 404 148 - 0.557 ms {"name":"Antonio Banderas","number":"040-123456","id":593.3299644208541}
OPTIONS /persons 204 0 - 1.546 ms {}
POST /persons 404 147 - 4.629 ms {"name":"Antonio Banderas","number":"040-123456","id":179.48163549875574}
OPTIONS /persons/1 204 0 - 0.343 ms {}
PUT /persons/1 404 148 - 1.085 ms {"name":"Antonio Banderas","number":"040-123456","id":179.48163549875574}
OPTIONS /persons/ 204 0 - 0.204 ms {}
DELETE /persons/ 404 150 - 1.567 ms {}
OPTIONS /persons 204 0 - 0.292 ms {}
